Time Elapsed (s),Voltage
0.016,0
0.016,0
0.016,0
0.016,0
0.025,0
0.031,0
0.032,0
0.032,0
0.032,0
0.032,0
0.032,0
0.412,0.244176
0.412,0.240952
0.412,0.236117
0.412,0.236117
0.412,0.234505
0.412,0.230476
0.412,0.232894
0.42,0.230476
0.42,0.226447
0.42,0.224029
0.42,0.224029
0.42,0.220806
0.42,0.220806
0.42,0.220806
0.423,0.219194
0.423,0.219194
0.428,0.218388
0.428,0.218388
0.428,0.217582
0.428,0.216777
0.428,0.218388
0.428,0.198242
0.428,0.195824
0.428,0.193407
0.428,0.194212
0.428,0.192601
0.428,0.191795
0.428,0.190989
0.437,0.189377
0.437,0.189377
0.437,0.185348
0.437,0.182125
0.437,0.18293
0.437,0.180513
0.437,0.178901
0.437,0.176484
0.445,0.177289
0.445,0.174872
0.445,0.17326
0.445,0.165201
0.445,0.162784
0.445,0.162784
0.446,0.162784
0.446,0.160366
0.446,0.15956
0.446,0.15956
0.446,0.158755
0.446,0.157143
0.446,0.157143
0.453,0.157949
0.453,0.154725
0.453,0.155531
0.453,0.155531
0.453,0.152308
0.453,0.152308
0.453,0.150696
0.453,0.149084
0.453,0.128132
0.461,0.12652
0.461,0.127326
0.461,0.128132
0.461,0.127326
0.461,0.128132
0.461,0.12652
0.466,0.127326
0.466,0.124908
0.466,0.124103
0.466,0.124103
0.466,0.123297
0.466,0.124103
0.466,0.124103
0.469,0.123297
0.469,0.121685
0.469,0.120073
0.469,0.119267
0.469,0.119267
0.469,0.088645
0.469,0.090256
0.477,0.089451
0.477,0.089451
0.477,0.089451
0.478,0.089451
0.478,0.089451
0.478,0.089451
0.478,0.089451
0.48,0.088645
0.48,0.090256
0.48,0.088645
0.48,0.088645
0.48,0.089451
0.48,0.089451
0.48,0.087839
0.486,0.087033
0.486,0.086227
0.486,0.06044
0.486,0.058828
0.486,0.059634
0.486,0.059634
0.486,0.06044
0.494,0.061245
0.494,0.06044
0.494,0.06044
0.494,0.062051
0.494,0.06044
0.494,0.06044
0.495,0.06044
0.499,0.062857
0.499,0.062857
0.5,0.064469
0.5,0.064469
0.5,0.064469
0.5,0.064469
0.5,0.036264
0.503,0.034652
0.503,0.033846
0.503,0.033846
0.503,0.030623
0.503,0.030623
0.503,0.029817
0.503,0.028205
0.509,0.028205
0.509,0.026593
0.509,0.026593
0.509,0.025788
0.509,0.026593
0.509,0.024982
0.509,0.026593
0.509,0.025788
0.516,0.024982
0.516,0.02337
0.516,0.024176
0.516,0.018535
0.516,0.017729
0.516,0.018535
0.517,0.015311
0.518,0.015311
0.522,0.015311
0.522,0.014505
0.522,0.0137
0.522,0.0137
0.522,0.012894
0.522,0.012894
0.526,0.012088
0.526,0.012894
0.526,0.012894
0.526,0.012894
0.526,0.012894
0.526,0.010476
0.526,0.012088
0.53,0.014505
0.53,0.012894
0.53,0.012894
0.53,0.012894
0.53,0.012088
0.53,0.011282
0.53,0.011282
0.534,0.00967
0.534,0.012088
0.534,0.008864
0.534,0.005641
0.534,0.006447
0.534,0.007253
0.534,0.005641
0.543,0.004835
0.543,0.003223
0.543,0.004029
0.543,0.003223
0.543,0.003223
0.543,0.017729
0.543,0.016117
0.546,0.017729
0.546,0.017729
0.546,0.015311
0.546,0.017729
0.546,0.015311
0.546,0.015311
0.55,0.016923
0.55,0.015311
0.55,0.014505
0.55,0.015311
0.55,0.0137
0.55,0.012894
0.55,0.012894
0.55,0.012894
0.559,0.012088
0.559,0.012894
0.559,0.012894
0.559,0.012894
0.559,0.015311
0.559,0.012894
0.559,0.012894
0.559,0.0137
0.559,0.012894
0.559,0.012894
0.559,0.0137
0.559,0.012894
0.559,0.0137
0.566,0.014505
0.566,0.012894
0.567,0.0137
0.567,0.014505
0.567,0.015311
0.567,0.0137
0.567,0.012894
0.567,0
0.567,0
0.575,0
0.575,0
0.575,0
0.575,0
0.575,0
0.575,0
0.575,0
0.575,0.001612
0.575,0.001612
0.575,0.001612
0.583,0
0.583,0.002418
0.583,0.001612
0.583,0.002418
0.587,0.000806
0.587,0.001612
0.587,0.001612
0.587,0
0.587,0
0.587,0
0.587,0
0.592,0
0.592,0
0.592,0
0.592,0
0.592,0
0.592,0
0.592,0
0.599,0
0.599,0.000806
0.599,0
0.599,0
0.599,0
0.6,0
0.6,0.002418
0.6,0
0.6,0
0.6,0
0.6,0
0.6,0
0.6,0
0.6,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.609,0
0.616,0
0.616,0
0.617,0
0.617,0
0.617,0
0.617,0
0.617,0
0.617,0
0.617,0
0.617,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.625,0
0.633,0
0.633,0
0.633,0
0.633,0
0.633,0
0.633,0
0.633,0
0.633,0
0.633,0
0.641,0
0.641,0
0.643,0
0.643,0
0.643,0
0.643,0
0.643,0
0.647,0
0.647,0
0.647,0
0.647,0
0.647,0
0.649,0
0.649,0
0.65,0
0.65,0
0.65,0
0.65,0
0.65,0
0.65,0
0.65,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.658,0
0.666,0
0.666,0
0.666,0
0.666,0
0.666,0
0.666,0
0.666,0
0.666,0
0.666,0
0.666,0
0.675,0
0.675,0
0.675,0
0.675,0
0.675,0
0.675,0
