Time Elapsed (s),Voltage
0.001,00000
0.001,0.000000
0.001,0.000000
0.001,0.000000
0.001,0.000000
0.001,0.000000
0.001,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.009,0.000000
0.017,0.000000
0.017,0.000000
0.017,0.000000
0.017,0.000000
0.017,0.000000
0.017,0.000000
0.017,0.000000
0.025,0.000000
0.025,0.000000
0.025,0.000000
0.025,0.000000
0.025,0.000000
0.025,0.000000
0.025,0.000000
0.031,0.000000
0.031,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.042,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.044,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.049,0.000000
0.060,0.000000
0.060,0.000000
0.060,0.000000
0.060,0.000000
0.060,0.000000
0.060,0.000000
0.062,0.000000
0.066,0.000000
0.066,0.000000
0.066,0.000000
0.066,0.000000
0.066,0.000000
0.066,0.000000
0.066,0.000000
0.071,0.000000
0.071,0.000000
0.071,0.000000
0.071,0.000000
0.071,0.000000
0.071,0.000000
0.071,0.000000
0.074,0.000000
0.074,0.000000
0.074,0.000000
0.074,0.000000
0.074,0.000000
0.074,0.000000
0.074,0.000000
0.082,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.083,0.000000
0.092,0.000000
0.092,0.000000
0.092,0.000000
0.092,0.000000
0.092,0.000000
0.092,0.000000
0.092,0.000000
0.092,0.000000
0.099,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.100,0.000000
0.108,0.000000
0.108,0.000000
0.108,0.000000
0.108,0.000000
0.108,0.000000
0.108,0.000000
0.108,0.000000
0.115,0.000000
0.115,0.000000
0.115,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.116,0.000000
0.125,0.000000
0.125,0.000000
0.125,0.000000
0.125,0.000000
0.125,0.000000
0.125,0.000000
0.125,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.132,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.142,0.000000
0.149,0.000000
0.149,0.000000
0.149,0.000000
0.153,0.000000
0.153,0.000000
0.154,0.000000
0.154,0.000000
0.154,0.000000
0.154,0.000000
0.154,0.000000
0.158,0.000000
0.158,0.000000
0.158,0.000000
0.158,0.000000
0.158,0.000000
0.158,0.000000
0.158,0.000000
0.161,0.000000
0.161,0.000000
0.161,0.000000
0.161,0.000000
0.161,0.000000
0.161,0.000000
0.161,0.000000
0.167,0.000000
0.167,0.000000
0.167,0.000000
0.167,0.000000
0.167,0.000000
0.167,0.000000
0.167,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.174,0.000000
0.186,0.000000
0.186,0.000000
0.186,0.000000
0.186,0.000000
0.186,0.000000
0.186,0.000000
0.186,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.191,0.000000
0.199,0.000000
0.199,0.000000
0.199,0.000000
0.199,0.000000
0.199,0.000000
0.199,0.000000
0.199,0.000000
0.204,0.000000
0.207,0.000000
0.207,0.000000
0.207,0.000000
0.207,0.000000
0.207,0.000000
0.207,0.000000
0.207,0.000000
0.214,0.000000
0.214,0.000000
0.214,0.000000
0.214,0.000000
0.214,0.000000
0.214,0.000000
0.214,0.000000
0.215,0.000000
0.215,0.000000
0.215,0.000000
0.215,0.000000
0.215,0.000000
0.215,0.000000
0.215,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.224,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.232,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.241,0.000000
0.248,0.000000
0.248,0.000000
0.248,0.000000
0.248,0.000000
0.248,0.000000
0.248,0.000000
0.248,0.000000
0.257,0.000000
0.257,0.000000
0.257,0.000000
0.257,0.000000
0.257,0.000000
0.257,0.000000
0.257,0.000000
0.264,0.000000
0.264,0.000000
0.264,0.000000
0.264,0.000000
0.264,0.000000
0.264,0.000000
0.264,0.000000
0.269,0.000000
0.269,0.000000
0.269,0.000000
0.269,0.000000
0.269,0.000000
0.269,0.000000
0.269,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.273,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.281,0.000000
0.290,0.000000
0.290,0.000000
0.290,0.000000
0.290,0.000000
0.290,0.000000
0.290,0.000000
0.290,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.297,0.000000
0.306,0.000000
0.306,0.000000
0.306,0.000000
0.306,0.000000
0.306,0.000000
0.306,0.000000
0.306,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.313,0.000000
0.321,0.000000
0.321,0.000000
