Time (s),Frequency (Hz),Intensity (dB)
0.0,0.0,-313.0712
0.0,7.2265625,-313.0712
0.0,14.453125,-313.0712
0.0,21.6796875,-313.0712
0.0,28.90625,-313.0712
0.0,36.1328125,-313.0712
0.0,43.359375,-313.0712
0.0,50.5859375,-313.0712
0.0,57.8125,-313.0712
0.0,65.0390625,-313.0712
0.0,72.265625,-313.0712
0.0,79.4921875,-313.0712
0.0,86.71875,-313.0712
0.0,93.9453125,-313.0712
0.0,101.171875,-313.0712
0.0,108.3984375,-313.0712
0.0,115.625,-313.0712
0.0,122.8515625,-313.0712
0.0,130.078125,-313.0712
0.0,137.3046875,-313.0712
0.0,144.53125,-313.0712
0.0,151.7578125,-313.0712
0.0,158.984375,-313.0712
0.0,166.2109375,-313.0712
0.0,173.4375,-313.0712
0.0,180.6640625,-313.0712
0.0,187.890625,-313.0712
0.0,195.1171875,-313.0712
0.0,202.34375,-313.0712
0.0,209.5703125,-313.0712
0.0,216.796875,-313.0712
0.0,224.0234375,-313.0712
0.0,231.25,-313.0712
0.0,238.4765625,-313.0712
0.0,245.703125,-313.0712
0.0,252.9296875,-313.0712
0.0,260.15625,-313.0712
0.0,267.3828125,-313.0712
0.0,274.609375,-313.0712
0.0,281.8359375,-313.0712
0.0,289.0625,-313.0712
0.0,296.2890625,-313.0712
0.0,303.515625,-313.0712
0.0,310.7421875,-313.0712
0.0,317.96875,-313.0712
0.0,325.1953125,-313.0712
0.0,332.421875,-313.0712
0.0,339.6484375,-313.0712
0.0,346.875,-313.0712
0.0,354.1015625,-313.0712
0.0,361.328125,-313.0712
0.0,368.5546875,-313.0712
0.0,375.78125,-313.0712
0.0,383.0078125,-313.0712
0.0,390.234375,-313.0712
0.0,397.4609375,-313.0712
0.0,404.6875,-313.0712
0.0,411.9140625,-313.0712
0.0,419.140625,-313.0712
0.0,426.3671875,-313.0712
0.0,433.59375,-313.0712
0.0,440.8203125,-313.0712
0.0,448.046875,-313.0712
0.0,455.2734375,-313.0712
0.0,462.5,-313.0712
0.0,469.7265625,-313.0712
0.0,476.953125,-313.0712
0.0,484.1796875,-313.0712
0.0,491.40625,-313.0712
0.0,498.6328125,-313.0712
0.0,505.859375,-313.0712
0.0,513.0859375,-313.0712
0.0,520.3125,-313.0712
0.0,527.5390625,-313.0712
0.0,534.765625,-313.0712
0.0,541.9921875,-313.0712
0.0,549.21875,-313.0712
0.0,556.4453125,-313.0712
0.0,563.671875,-313.0712
0.0,570.8984375,-313.0712
0.0,578.125,-313.0712
0.0,585.3515625,-313.0712
0.0,592.578125,-313.0712
0.0,599.8046875,-313.0712
0.0,607.03125,-313.0712
0.0,614.2578125,-313.0712
0.0,621.484375,-313.0712
0.0,628.7109375,-313.0712
0.0,635.9375,-313.0712
0.0,643.1640625,-313.0712
0.0,650.390625,-313.0712
0.0,657.6171875,-313.0712
0.0,664.84375,-313.0712
0.0,672.0703125,-313.0712
0.0,679.296875,-313.0712
0.0,686.5234375,-313.0712
0.0,693.75,-313.0712
0.0,700.9765625,-313.0712
0.0,708.203125,-313.0712
0.0,715.4296875,-313.0712
0.0,722.65625,-313.0712
0.0,729.8828125,-313.0712
0.0,737.109375,-313.0712
0.0,744.3359375,-313.0712
0.0,751.5625,-313.0712
0.0,758.7890625,-313.0712
0.0,766.015625,-313.0712
0.0,773.2421875,-313.0712
0.0,780.46875,-313.0712
0.0,787.6953125,-313.0712
0.0,794.921875,-313.0712
0.0,802.1484375,-313.0712
0.0,809.375,-313.0712
0.0,816.6015625,-313.0712
0.0,823.828125,-313.0712
0.0,831.0546875,-313.0712
0.0,838.28125,-313.0712
0.0,845.5078125,-313.0712
0.0,852.734375,-313.0712
0.0,859.9609375,-313.0712
0.0,867.1875,-313.0712
0.0,874.4140625,-313.0712
0.0,881.640625,-313.0712
0.0,888.8671875,-313.0712
0.0,896.09375,-313.0712
0.0,903.3203125,-313.0712
0.0,910.546875,-313.0712
0.0,917.7734375,-313.0712
0.0,925.0,-313.0712
0.0,932.2265625,-313.0712
0.0,939.453125,-313.0712
0.0,946.6796875,-313.0712
0.0,953.90625,-313.0712
0.0,961.1328125,-313.0712
0.0,968.359375,-313.0712
0.0,975.5859375,-313.0712
0.0,982.8125,-313.0712
0.0,990.0390625,-313.0712
0.0,997.265625,-313.0712
0.0,1004.4921875,-313.0712
0.0,1011.71875,-313.0712
0.0,1018.9453125,-313.0712
0.0,1026.171875,-313.0712
0.0,1033.3984375,-313.0712
0.0,1040.625,-313.0712
0.0,1047.8515625,-313.0712
0.0,1055.078125,-313.0712
0.0,1062.3046875,-313.0712
0.0,1069.53125,-313.0712
0.0,1076.7578125,-313.0712
0.0,1083.984375,-313.0712
0.0,1091.2109375,-313.0712
0.0,1098.4375,-313.0712
0.0,1105.6640625,-313.0712
0.0,1112.890625,-313.0712
0.0,1120.1171875,-313.0712
0.0,1127.34375,-313.0712
0.0,1134.5703125,-313.0712
0.0,1141.796875,-313.0712
0.0,1149.0234375,-313.0712
0.0,1156.25,-313.0712
0.0,1163.4765625,-313.0712
0.0,1170.703125,-313.0712
0.0,1177.9296875,-313.0712
0.0,1185.15625,-313.0712
0.0,1192.3828125,-313.0712
0.0,1199.609375,-313.0712
0.0,1206.8359375,-313.0712
0.0,1214.0625,-313.0712
0.0,1221.2890625,-313.0712
0.0,1228.515625,-313.0712
0.0,1235.7421875,-313.0712
0.0,1242.96875,-313.0712
0.0,1250.1953125,-313.0712
0.0,1257.421875,-313.0712
0.0,1264.6484375,-313.0712
0.0,1271.875,-313.0712
0.0,1279.1015625,-313.0712
0.0,1286.328125,-313.0712
0.0,1293.5546875,-313.0712
0.0,1300.78125,-313.0712
0.0,1308.0078125,-313.0712
0.0,1315.234375,-313.0712
0.0,1322.4609375,-313.0712
0.0,1329.6875,-313.0712
0.0,1336.9140625,-313.0712
0.0,1344.140625,-313.0712
0.0,1351.3671875,-313.0712
0.0,1358.59375,-313.0712
0.0,1365.8203125,-313.0712
0.0,1373.046875,-313.0712
0.0,1380.2734375,-313.0712
0.0,1387.5,-313.0712
0.0,1394.7265625,-313.0712
0.0,1401.953125,-313.0712
0.0,1409.1796875,-313.0712
0.0,1416.40625,-313.0712
0.0,1423.6328125,-313.0712
0.0,1430.859375,-313.0712
0.0,1438.0859375,-313.0712
0.0,1445.3125,-313.0712
0.0,1452.5390625,-313.0712
0.0,1459.765625,-313.0712
0.0,1466.9921875,-313.0712
0.0,1474.21875,-313.0712
0.0,1481.4453125,-313.0712
0.0,1488.671875,-313.0712
0.0,1495.8984375,-313.0712
0.0,1503.125,-313.0712
0.0,1510.3515625,-313.0712
0.0,1517.578125,-313.0712
0.0,1524.8046875,-313.0712
0.0,1532.03125,-313.0712
0.0,1539.2578125,-313.0712
0.0,1546.484375,-313.0712
0.0,1553.7109375,-313.0712
0.0,1560.9375,-313.0712
0.0,1568.1640625,-313.0712
0.0,1575.390625,-313.0712
0.0,1582.6171875,-313.0712
0.0,1589.84375,-313.0712
0.0,1597.0703125,-313.0712
0.0,1604.296875,-313.0712
0.0,1611.5234375,-313.0712
0.0,1618.75,-313.0712
0.0,1625.9765625,-313.0712
0.0,1633.203125,-313.0712
0.0,1640.4296875,-313.0712
0.0,1647.65625,-313.0712
0.0,1654.8828125,-313.0712
0.0,1662.109375,-313.0712
0.0,1669.3359375,-313.0712
0.0,1676.5625,-313.0712
0.0,1683.7890625,-313.0712
0.0,1691.015625,-313.0712
0.0,1698.2421875,-313.0712
